,MAIN_ID,Z_VALUE,RA,DEC,GALDIM_MAJAXIS,GALDIM_MINAXIS,SCRIPT_NUMBER_ID
3418,XCLASS 229,0.3825,09 54 20.4,+17 35 56,6.25,6.25,0
3423,CXOU J092053.0+302800,0.2894,09 20 52.5,+30 27 40,6.36,6.36,0
3523,SWXCS J105248+1041.6,0.08761,10 52 48.24,+10 41 31.6,16.666666,16.666666,0
3628,XCLASS 3057,0.333,02 01 19.00,-06 49 54.6,3.5,3.5,0
3631,XLSSC 104,0.2915,02 29 17.70,-05 53 45.9,7.044,7.044,0
3674,RXC J1415.2-0030,0.13893,14 15 03.18,-00 28 21.4,8.75,8.75,0
3690,ACO   929,0.11202,10 07 42.53,+38 00 46.6,10.0,10.0,0
3696,XCLASS 3240,0.10302,11 36 29.24,+07 12 11.1,10.0,10.0,0
3702,NSC J085640+055242,0.0939,08 56 34.12,+05 53 37.4,0.76,0.76,0
3803,[MFP2015] XCC J0230.1-0540,0.4991,02 30 09.4,-05 40 33,5.028,5.028,0
3804,[MFP2015] XCC J0221.5-0626,0.314,02 21 34.7,-06 26 18,5.652,5.652,0
3805,PLCKESZ G100.24-30.45,0.394,23 22 14.900,+28 31 13.50,7.0,7.0,0
3864,PSZ2 G180.88+31.04,0.36969,08 07 47.3,+39 46 35,7.5,7.5,0
3884,ACT-CL J1219.6-0318,0.3,12 19 37.2,-03 18 34,8.0,8.0,0
4369,XLSSC 571,0.726,23 33 45.9,-55 38 16,2.9166667,2.9166667,0
4390,XCLASS 3246,0.3439,03 40 07.1,-28 50 39,6.0,6.0,0
4450,XCLASS 3244,0.262,03 40 07.1,-28 33 30,4.1666665,4.1666665,0
4747,RXC J1310.9+2157,0.28219,13 10 56.3,+21 57 56,7.91,7.91,0
5088,ACT-CL J1234.2+1515,0.28795,12 34 16.1,+15 15 08,9.166667,9.166667,0
5134,XCLASS 2699,0.18703,16 26 42.5,+42 40 11,7.6666665,7.6666665,0
5149,ACO   637,0.15528,08 15 10.7,+48 22 34,5.6666665,5.6666665,0
5315,XCLASS 2375,0.38778,16 28 32.9,+27 44 20,4.3333335,4.3333335,0
5381,ACO  2245,0.08638,17 02 38.26,+33 30 10.0,10.833333,10.833333,0
5562,ACO   278,0.09,01 57 16.2,+32 14 47,12.916667,12.916667,0
5725,XCLASS 2637,0.24717,15 46 17.7,+02 13 48,5.4166665,5.4166665,0
5791,XCLASS 2295,0.36989,08 02 25.7,+39 05 29,6.6666665,6.6666665,0
6083,ACT-CL J2151.0-0736,0.2831,21 51 00.7,-07 36 31,7.5,7.5,0
6163,XCLASS 22711,0.23666,21 30 03.9,-00 21 08,6.3333335,6.3333335,0
7165,XCLASS 2953,0.17454,11 49 03.2,+22 24 39,5.8333335,5.8333335,0
7611,XCLASS 24693,0.5253,01 19 34.6,+11 21 06,2.9166667,2.9166667,0
8130,XCLASS 2203,0.44667,22 44 12.1,-09 33 56,4.1666665,4.1666665,0
8656,XCLASS 2093,0.29609,22 23 14.6,-01 39 36,5.0,5.0,0
9780,XCLASS 20158,0.255,01 23 40.2,+33 05 53,2.5666666,2.5666666,0
9935,XCLASS 2740,0.29639,09 20 52.8,+29 41 12,4.733333,4.733333,0
10310,2E 1155.9+2646,0.13814,11 58 28.57,+26 29 01.4,10.0,10.0,0
10438,SDSS-C4-DR3 2069,0.07441,01 07 22.08,+14 15 23.8,13.75,13.75,0
10498,ACT-CL J0908.8+1445,0.45259,09 08 51.3,+14 45 51,6.4333334,6.4333334,0
10762,XCLASS 1676,0.28867,13 20 43.5,+33 09 14,3.75,3.75,0
11087,ACT-CL J1341.6+0017,0.5081,13 41 38.6,+00 16 56,3.29,3.29,0
12048,BAX 201.3121+65.8414,0.18262,13 25 09.5,+65 51 07,3.75,3.75,0
13609,XCLASS 3204,0.12095785,00 46 38.39,+20 15 02.0,7.5,7.5,0
13663,XCLASS 309,0.04603385,01 19 00.26,-00 59 48.4,10.833333,10.833333,0
