,MAIN_ID,Z_VALUE,RA,DEC,GALDIM_MAJAXIS,GALDIM_MINAXIS,SCRIPT_NUMBER_ID
155,ClG J2243-0935,0.43929,22 43 21.1,-09 35 43,11.0,11.0,0
156,ACO  2645,0.2509,23 41 17.0,-09 01 11,0.21,0.118,0
157,ACO  2670,0.0761,23 54 10.51,-10 23 06.8,20.0,20.0,0
158,ACO    85,0.0556,00 41 36.21,-09 19 30.4,21.666666,21.666666,0
162,ACO   348,0.2701,02 23 59.20,-08 35 43.4,11.028,11.028,0
166,BAX 339.9121-05.7217,0.24,22 39 38.8,-05 43 13,10.0,10.0,0
168,ACO  2697,0.234,00 03 11.5,-06 05 30,12.083333,12.083333,0
171,ACO   362,0.1852,02 31 42.20,-04 52 53.1,16.656,16.656,0
174,ACO   329,0.1394,02 14 40.900,-04 33 21.90,13.333333,13.333333,0
175,ACO   383,0.19,02 48 03.3915,-03 31 45.228,13.333333,13.333333,0
179,ACO  2537,0.295,23 08 22.3,-02 11 29,9.47,9.47,0
180,ZwCl 0027-0036,0.06,00 29 27.73,-00 11 49.6,13.5862,13.5862,0
182,ACO   119,0.0445,00 56 08.57,-01 12 00.8,24.166666,24.166666,0
188,ClG J2129+0005,0.2339,21 29 40.5,+00 05 47,1.0,1.0,0
189,ACO  2355,0.23058,21 35 18.70,+01 25 27.0,12.5,12.5,0
192,ACO  2631,0.2765,23 37 40.7,+00 16 35,7.73,7.73,0
194,ACO  2700,0.095,00 03 49.7,+02 03 59,16.0,16.0,0
197,SDSS CE 011.007808+00.108698,0.2185,00 44 01.36,+00 06 47.6,5.9755,5.9755,0
200,ACO   267,0.22965,01 52 43.016,+00 59 58.90,10.18,10.18,0
203,ZwCl 0256+0002,0.19318,02 59 33.8,+00 13 45,7.0323,7.0323,0
204,ClG J0256+0006,0.343,02 56 32.9,+00 06 12,6.21,6.21,0
217,ACO    68,0.24941,00 37 06.2,+09 09 33,12.19,12.19,0
226,ClG 0016+16,0.549,00 18 33.3,+16 26 36,2.5,2.5,0
227,ACO   152,0.059,01 10 09.08,+14 00 33.9,10.666667,10.666667,0
228,ACO   160,0.043,01 12 59.98,+15 30 05.3,15.0,15.0,0
233,ZwCl 0024+1652,0.395,00 26 35.6,+17 09 32,4.55,4.55,0
234,ACO  2390,0.23022,21 53 37.4,+17 41 46,2.0,2.0,0
236,ACO  2626,0.055,23 36 31.0,+21 09 36,19.666666,19.666666,0
239,ACO    98,0.1038,00 46 29.2,+20 28 06,11.666667,11.666667,0
246,BAX 006.9575+26.2739,0.3668,00 27 45.90,+26 16 25.0,0.147,0.147,0
248,ACO   115,0.193,00 55 59.5,+26 19 14,12.5,12.5,0
254,NAME Stephan's Quintet,0.0215,22 35 57.5,+33 57 36,3.2,3.2,0
255,ACO   262,0.016,01 52 50.4,+36 08 46,21.666666,21.666666,0
256,ClG 0906.5+1110,0.1767,09 09 12.7,+10 58 32,12.666667,12.666667,0
258,ACO   754,0.054,09 09 08.4,-09 39 58,16.0,16.0,0
260,ACO   781,0.293,09 20 25.4,+30 30 07,9.37,9.37,0
266,BAX 145.8779+16.6672,0.25,09 43 30.70,+16 40 02.0,2.88,2.88,0
267,BAX 145.9371+16.7467,0.17934,09 43 45.0,+16 44 13,5.0,5.0,0
280,ACO   963,0.2041,10 17 03.4,+39 02 56,12.916667,12.916667,0
282,[AWK2020] 378,0.11205785,10 13 46.91,+19 45 21.0,1.02,1.02,0
289,BAX 155.5304+38.5153,0.05429697,10 22 18.24,+38 32 39.6,12.333333,12.333333,0
291,ZwCl 1021+0426,0.2894,10 23 39.0,+04 11 14,1.0,1.0,0
293,ACO  1035,0.07739437,10 32 05.91,+40 17 25.9,12.916667,12.916667,0
306,ACO  1139,0.0397569,10 58 01.63,+01 38 05.4,11.0,11.0,0
307,ClG 1054-03,0.829,10 57 00.2,-03 37 27,5.0,5.0,0
308,ClG J1054-1146,0.698,10 54 24.2,-11 46 18,2.9166667,2.9166667,0
315,ACO  1201,0.1671,11 12 54.4,+13 26 08,14.666667,14.666667,0
333,ACO  1300,0.306,11 32 00.7,-19 53 34,4.8,4.8,0
343,ACO  1413,0.1412,11 55 12.87,+23 23 46.9,14.583333,14.583333,0
344,MCS J1149.5+2223,0.545,11 49 35.8,+22 23 55,7.9166665,7.9166665,0
346,NAME NGC 4104 Group,0.02817,12 06 19.75,+28 07 08.3,16.666666,16.666666,0
356,ZwCl 1215+0400,0.0772,12 17 43.62,+03 38 51.5,18.333334,18.333334,0
360,ClG J1216-1201,0.794,12 16 45.10,-12 01 17.3,4.5833335,4.5833335,0
370,BAX 190.3879+32.8397,0.39619,12 41 33.1,+32 50 23,6.41,6.41,0
372,ACO  1589,0.0709,12 41 08.09,+18 33 18.5,19.583334,19.583334,0
373,M  60,0.00339,12 43 39.9680,+11 33 09.696,7.94,6.61,0
374,ZwCl 1231+1007,0.23208,12 34 21.9,+09 47 02,4.0,4.0,0
375,NGC  4636,0.00307,12 42 49.8333,+02 41 15.951,7.76,5.89,0
381,ACO  1612,0.18177,12 47 43.2,-02 47 32,4.3,4.3,0
384,ClG J1252-2927,1.24,12 52 54.4,-29 27 17,2.9166667,2.9166667,0
385,ACO  3526,0.011,12 48 51.8,-41 18 21,16.666666,16.666666,0
387,ACO  1656,0.0234,12 59 44.40,+27 54 44.9,30.0,30.0,0
388,ZwCl 1303+2647,0.30812,13 05 58.0,+26 30 53,0.233,0.117,0
392,ACO  1689,0.1842,13 11 29.5,-01 20 28,4.0,4.0,0
393,BAX 199.3086-25.5133,0.247,13 14 25.4,-25 15 44,0.187,0.116,0
395,ClG 1322+3027,0.753,13 24 48.2,+30 11 34,2.9166667,2.9166667,0
396,NAME NGC 5171 Group,0.024268,13 29 05.10,+11 45 04.8,16.666666,16.666666,0
397,ZwCl 1316-0044,0.08321,13 19 16.58,-00 55 01.2,4.8333335,4.8333335,0
400,ACO  3558,0.048,13 27 54.8,-31 29 32,20.416666,20.416666,0
401,ACO  1763,0.2312,13 35 20.1,+41 00 04,11.16,11.16,0
403,ACO  1750,0.0856,13 30 50.44,-01 51 27.1,14.583333,14.583333,0
404,ACO  3562,0.049,13 33 31.8,-31 40 23,5.0,5.0,0
408,ACO  1795,0.063,13 48 50.48,+26 35 07.4,23.333334,23.333334,0
409,ACO  1775,0.075,13 41 50.60,+26 21 10.6,21.666666,21.666666,0
413,ClG J1347-1145,0.45,13 47 30.5,-11 45 07,2.0,2.0,0
414,HCG  68,0.008,13 53 40.9,+40 19 07,9.2,9.2,0
418,ACO  1835,0.2506,14 01 02.07,+02 52 43.2,2.0,2.0,0
424,ACO  1882,0.13773,14 14 24.02,-00 22 39.9,7.9166665,7.9166665,0
426,ACO  1914,0.166,14 26 03.32,+37 49 58.7,7.5,7.5,0
429,BAX 214.1083+23.2564,0.13814,14 16 27.70,+23 15 25.9,13.333333,13.333333,0
430,ACO  1890,0.05779099,14 17 41.62,+08 13 06.4,0.512,0.389,0
446,ZwCl 1455+2232,0.25762,14 57 15.2,+22 20 30,2.0,2.0,0
448,ACO  1991,0.05842299,14 54 41.53,+18 38 08.4,16.666666,16.666666,0
449,ACO  1983,0.04487038,14 52 59.33,+16 46 11.0,16.25,16.25,0
451,ACO  2163,0.201,16 15 46.1,-06 08 50,11.0,11.0,0
452,ClG J1504-0248,0.2168,15 04 07.4,-02 48 15,1.0,1.0,0
455,ACO  2051,0.1182,15 16 47.15,-01 00 32.8,21.25,21.25,0
457,ACO  2050,0.1191,15 16 18.7,+00 05 31,15.0,15.0,0
462,BAX 233.1222+04.6817,0.03827569,15 32 32.02,+04 40 51.6,16.25,16.25,0
467,ACO  2052,0.03491567,15 16 41.64,+07 01 45.5,20.416666,20.416666,0
468,ACT-CL J1521.8+0742,0.04419582,15 21 55.14,+07 41 27.2,21.0,21.0,0
469,ACO  2063,0.034,15 23 01.8,+08 38 22,19.666666,19.666666,0
478,ACO  2254,0.176,17 17 45.90,+19 40 22.8,15.333333,15.333333,0
485,AWM 4,0.0321142,16 04 52.01,+23 56 26.9,18.666666,18.666666,0
487,ClG J1720+2638,0.1604,17 20 09.6,+26 37 35,1.5,1.5,0
488,2MASX J17201001+2637317,0.16014,17 20 10.040,+26 37 32.06,0.343,0.261,0
491,ACO  2142,0.0903,15 58 14.38,+27 12 57.8,15.833333,15.833333,0
496,ACO  2175,0.096,16 20 30.70,+29 53 31.2,15.833333,15.833333,0
499,ACO  2261,0.2242,17 22 26.9,+32 07 58,13.76,13.76,0
500,ACO  2069,0.1139,15 24 02.92,+29 53 20.3,5.0,5.0,0
502,ACO  2065,0.0731,15 22 29.3,+27 42 22,20.416666,20.416666,0
508,ACO  2061,0.0783,15 21 19.90,+30 37 13.0,7.5,7.5,0
511,ACO  2034,0.1132,15 10 12.96,+33 29 53.2,12.083333,12.083333,0
512,ACO  2111,0.2291,15 39 40.9,+34 25 04,14.333333,14.333333,0
519,ACO  2199,0.0309,16 28 43.31,+39 34 07.6,21.666666,21.666666,0
524,ACO  3391,0.055,06 26 15.4,-53 40 52,20.0,20.0,0
525,ACO  3395,0.051,06 27 31.1,-54 23 58,18.466667,18.466667,0
526,ACO S  520,0.295,05 16 37.40,-54 30 01.5,14.0,14.0,0
527,ClG 0657-56,0.296,06 58 29.6,-55 56 39,8.0,8.0,0
528,ACO  3128,0.063,03 29 50.6,-52 34 48,14.0,14.0,0
529,ACO  3158,0.059,03 42 39.6,-53 37 50,21.666666,21.666666,0
530,ACO  3017,0.2195,02 25 53.4,-41 54 58,12.166667,12.166667,0
531,ACO  3266,0.0577,04 31 11.9,-61 24 23,25.833334,25.833334,0
534,ACO S 1063,0.351,22 48 45.4,-44 31 42,12.5,12.5,0
535,ACT-CL J2011.4-5724,0.2786,20 11 26.8,-57 25 09,9.333333,9.333333,0
536,ACO  3667,0.0552,20 12 33.68,-56 50 26.3,20.0,20.0,0
538,CXOMP J010610.3+005126,0.2566,01 06 10.3,+00 51 26,5.6745,5.6745,0
539,ATELAIS J003427.38-431859.0,0.393,00 34 27.42,-43 18 59.4,7.5,7.5,0
541,ClG J0146-0929,0.447,01 46 56.00,-09 29 52.4,5.866667,5.866667,0
543,CDGS 54,0.83,10 02 01.47,+02 13 29.6,3.3333333,3.3333333,0
545,XCLASS 1879,0.347,10 00 13.925,+02 22 48.00,4.5833335,4.5833335,0
547,HSCS J022358-043505,0.49,02 23 57.4,-04 35 17,4.8,4.8,0
548,ACO  2717,0.049,00 03 12.9,-35 56 13,18.833334,18.833334,0
549,NAME Hydra I Cluster,0.014,10 36 36.0,-27 31 04,20.416666,20.416666,0
550,ACO  3490,0.069,11 45 19.6,-34 25 59,18.666666,18.666666,0
551,ACO  1644,0.047,12 57 11.6,-17 24 34,23.333334,23.333334,0
553,CDGS 3,0.1172,10 01 42.66,+02 25 49.9,6.25,6.25,0
556,CDGS 15,0.35,10 00 43.71,+01 46 11.4,2.0833333,2.0833333,0
557,XCLASS 2163,0.37,09 59 51.54,+01 40 46.5,4.1,4.1,0
560,XCLASS 2162,0.12,09 59 24.91,+01 46 09.7,6.6666665,6.6666665,0
567,ClG J1312+3900,0.40417,13 12 19.4,+39 00 58,0.44,0.44,0
568,ACT-CL J1200.8-0328,0.39525,12 00 49.5,-03 27 30,5.8333335,5.8333335,0
569,ClG J1213+0253,0.4096,12 13 34.4,+02 53 57,5.4166665,5.4166665,0
571,BAX 214.6296+25.1806,0.29,14 18 31.2,+25 10 47,6.48,6.48,0
578,RX J1257.2+4738,0.866,12 57 12.20,+47 38 06.5,2.5,2.5,0
579,NAME XMMU J1229.4+0151,0.976,12 29 28.8,+01 51 34,3.25,3.25,0
593,ClG J1226+3332,0.892,12 26 57.7,+33 32 50,5.8333335,5.8333335,0
597,2XMM J045400.6-030832,0.261,04 54 00.6,-03 08 32,4.5833335,4.5833335,0
600,CDGS 24,0.4379,21 50 41.25,-05 41 05.5,3.3333333,3.3333333,0
611,ACT-CL J0559.7-5249,0.609,05 59 43.20,-52 49 27.1,6.0,6.0,0
614,HSCS J021735-051330,0.65,02 17 34.49,-05 13 18.5,3.73,3.73,0
617,ZwCl 0008+5215,0.104,00 11 37.197,+52 32 31.68,12.0,12.0,0
622,ACT-CL J2344.7-4243,0.596,23 44 43.9,-42 43 11,7.0833335,7.0833335,0
640,PLCKESZ G287.0+32.9,0.383,11 50 49.20,-28 04 36.5,4.0,4.0,0
645,ACT-CL J0102-4915,0.87,01 02 52.50,-49 14 58.0,1.0,1.0,0
651,ACT-CL J0438.2-5419,0.4224,04 38 17.70,-54 19 20.7,10.0,10.0,0
654,ClG J1420+3955,0.607,14 20 40.38,+39 55 10.6,6.3333335,6.3333335,0
657,ACT-CL J0017.6-0052,0.2065,00 17 37.40,-00 52 35.4,7.1527,7.1527,0
658,ACT-CL J2030.8-5638,0.394,20 30 49.6,-56 38 07,6.3333335,6.3333335,0
661,ACT-CL J1238.6+0928,0.2299,12 38 41.07,+09 28 30.2,8.66,8.66,0
664,ZwCl 1856+6616,0.37,18 56 38.4,+66 23 10,3.3,3.3,0
673,PCG J2319-0227,0.10911,23 19 10.28,-02 27 09.9,1.186,1.186,0
700,XCLASS 2118,0.1454,21 51 24.91,-05 27 10.7,8.333333,8.333333,0
701,ClG 1821+64,0.299,18 21 56.7276,+64 20 55.841,4.0,4.0,0
702,EXSS 1201.3+0205,0.23675,12 03 52.800,+01 47 06.50,5.71,5.71,0
703,XCLASS 530,0.41,04 55 06.300,-53 23 43.80,6.25,6.25,0
706,PSZSPT J2017-6258,0.535,20 17 55.9,-62 58 32,6.0,6.0,0
710,ACT-CL J0215.4-0440,0.348,02 15 29,-04 40.9,4.1666665,4.1666665,0
711,XMMXCS J144016.2+034124.4,0.29,14 40 16.200,+03 41 24.40,5.9,5.9,0
712,XCLASS 1853,0.298,23 21 24.600,+19 45 14.80,5.94,5.94,0
781,ACT-CL J1426.3-0126,0.45762,14 26 24.2,-01 26 57,4.3333335,4.3333335,0
947,ClG 1231.3+1542,0.234,12 33 55.3,+15 25 58,9.666667,9.666667,0
1041,XCLASS 1886,0.942,10 00 05.72,+02 12 11.5,1.25,1.25,0
1044,XCLASS 1888,0.344,09 58 23.94,+02 49 11.7,3.3333333,3.3333333,0
1071,ACT-CL J2211.7-0349,0.396,22 11 43.4,-03 50 07,9.333333,9.333333,0
1072,MCS J1752.0+4440,0.366,17 52 02.2,+44 40 38,3.3,3.3,0
1076,eMACS J1508.1+5755,0.5392,15 08 21.9,+57 55 15,9.0,9.0,0
1081,ZwCl 0017+0320,0.26908,00 19 38.6,+03 35 57,9.666667,9.666667,0
1113,XMMXCS J042226.3-514029.7,0.59,04 22 26.36,-51 40 29.7,3.3333333,3.3333333,0
1119,CXOU J092053.0+302800,0.2894,09 20 52.5,+30 27 40,6.36,6.36,0
1241,PLCKESZ G100.24-30.45,0.394,23 22 14.900,+28 31 13.50,7.0,7.0,0
1289,PSZ2 G180.88+31.04,0.36969,08 07 47.3,+39 46 35,7.5,7.5,0
1306,ACT-CL J1219.6-0318,0.3,12 19 37.2,-03 18 34,8.0,8.0,0
1418,XCLASS 3246,0.3439,03 40 07.1,-28 50 39,6.0,6.0,0
1534,RXC J1310.9+2157,0.28219,13 10 56.3,+21 57 56,7.91,7.91,0
1610,ACT-CL J1234.2+1515,0.28795,12 34 16.1,+15 15 08,9.166667,9.166667,0
1650,XCLASS 2699,0.18703,16 26 42.5,+42 40 11,7.6666665,7.6666665,0
1685,ACO  2245,0.08638,17 02 38.26,+33 30 10.0,10.833333,10.833333,0
1865,ACO   278,0.09,01 57 16.2,+32 14 47,12.916667,12.916667,0
2020,XCLASS 2637,0.24717,15 46 17.7,+02 13 48,5.4166665,5.4166665,0
2081,XCLASS 2295,0.36989,08 02 25.7,+39 05 29,6.6666665,6.6666665,0
2353,ACT-CL J2151.0-0736,0.2831,21 51 00.7,-07 36 31,7.5,7.5,0
2417,XCLASS 22711,0.23666,21 30 03.9,-00 21 08,6.3333335,6.3333335,0
2904,XCLASS 2953,0.17454,11 49 03.2,+22 24 39,5.8333335,5.8333335,0
